Idea	Scan
0.00	4.44
1.00	4.91
2.00	5.38
3.00	5.85
4.00	5.49
5.00	5.13
6.00	5.60
7.00	6.07
8.00	6.54
9.00	6.77
10.00	7.00
11.00	6.17
12.00	5.33
13.00	4.50
14.00	2.25
15.00	0.00
16.00	2.45
17.00	4.91
18.00	7.36
19.00	7.62
20.00	7.88
21.00	5.95
22.00	4.03
23.00	2.10
24.00	2.86
25.00	3.62
26.00	4.38
27.00	4.28
28.00	4.18
29.00	4.88
30.00	5.57
31.00	6.26
32.00	6.03
33.00	5.79
34.00	7.02
35.00	8.25
36.00	9.48
37.00	7.62
38.00	5.76
39.00	4.22
40.00	2.67
41.00	1.13
42.00	3.54
43.00	5.95
44.00	8.72
45.00	11.50
46.00	14.28
47.00	8.91
48.00	3.54
49.00	4.60
50.00	5.67
51.00	6.73
52.00	6.76
53.00	6.79
54.00	6.83
55.00	6.98
56.00	7.13
57.00	7.07
58.00	7.01
59.00	6.95
60.00	7.13
61.00	7.31
62.00	7.69
63.00	8.08
64.00	8.47
65.00	5.87
66.00	3.26
67.00	4.98
68.00	6.69
69.00	8.41
70.00	7.11
71.00	5.80
72.00	7.59
73.00	9.38
74.00	11.17
75.00	9.46
76.00	7.74
77.00	6.02
78.00	7.56
79.00	9.09
80.00	9.09
81.00	9.09
82.00	9.09
83.00	8.39
84.00	7.69
85.00	8.13
86.00	8.56
87.00	8.99
88.00	8.60
89.00	8.21
90.00	7.54
91.00	6.87
92.00	6.19
93.00	7.80
94.00	9.41
95.00	8.58
96.00	7.74
97.00	6.90
98.00	4.21
99.00	1.52
100.00	3.69
101.00	5.86
102.00	8.03
103.00	8.29
104.00	8.55
105.00	8.82
106.00	8.88
107.00	8.95
108.00	9.13
109.00	9.32
110.00	9.51
111.00	9.04
112.00	8.57
113.00	8.91
114.00	9.24
115.00	9.57
116.00	9.84
117.00	10.11
118.00	11.27
119.00	12.43
120.00	13.59
121.00	12.60
122.00	11.61
123.00	11.02
124.00	10.43
125.00	9.85
126.00	10.39
127.00	10.93
128.00	11.47
129.00	12.22
130.00	12.97
131.00	13.39
132.00	13.81
133.00	14.23
134.00	14.17
135.00	14.11
136.00	14.53
137.00	14.96
138.00	15.38
139.00	14.95
140.00	14.52
141.00	15.17
142.00	15.81
143.00	16.46
144.00	17.92
145.00	19.38
146.00	19.09
147.00	18.80
148.00	18.51
149.00	18.20
150.00	17.89
151.00	19.38
152.00	20.87
153.00	22.36
154.00	23.80
155.00	25.25
156.00	26.69
157.00	27.53
158.00	28.36
159.00	29.20
160.00	30.04
161.00	30.87
162.00	31.82
163.00	32.77
164.00	33.41
165.00	34.04
166.00	34.67
167.00	36.81
168.00	38.95
169.00	40.58
170.00	42.21
171.00	43.84
172.00	46.97
173.00	50.10
174.00	52.02
175.00	53.94
176.00	55.86
177.00	60.52
178.00	65.18
179.00	69.84
180.00	71.77
181.00	73.70
182.00	77.72
183.00	81.74
184.00	85.75
185.00	88.79
186.00	91.83
187.00	95.46
188.00	99.09
189.00	102.72
190.00	108.97
191.00	115.22
192.00	118.44
193.00	121.67
194.00	124.90
195.00	130.97
196.00	137.05
197.00	141.87
198.00	146.68
199.00	151.50
200.00	162.47
201.00	173.44
202.00	179.39
203.00	185.34
204.00	191.29
205.00	195.90
206.00	200.52
207.00	205.14
208.00	207.87
209.00	210.61
210.00	213.85
211.00	217.09
212.00	220.33
213.00	220.71
214.00	221.08
215.00	223.35
216.00	225.61
217.00	227.88
218.00	229.52
219.00	231.17
220.00	231.52
221.00	231.87
222.00	232.21
223.00	235.44
224.00	238.66
225.00	240.84
226.00	243.02
227.00	245.20
228.00	246.46
229.00	247.72
230.00	248.97
231.00	247.77
232.00	246.57
233.00	247.46
234.00	248.35
235.00	249.24
236.00	249.94
237.00	250.64
238.00	250.99
239.00	251.34
240.00	251.70
241.00	251.11
242.00	250.52
243.00	251.28
244.00	252.04
245.00	252.80
246.00	253.90
247.00	255.00
248.00	254.82
249.00	254.64
250.00	254.45
251.00	253.23
252.00	252.00
253.00	246.56
254.00	241.12
255.00	235.68
